empno,aname,pid,specialty
43,Mylo Jahncke,75,Energy
52,Llewellyn Russi,60,Finance
4,Waylon Boots,90,Technology
63,Judon Iorillo,7,Neural Networks
56,Lanny Marlowe,8,Health Care
18,Cheslie Harrema,45,Finance
3,Scarlett Costelow,3,Consumer Services
53,Marilyn Kingswell,55,Consumer Non-Durables
83,Chucho Havesides,6,Neural Networks
9,Rachael Beernt,96,Neural Networks
6,Winston Casterou,6,Public Utilities
45,Helli Swynfen,63,Consumer Services
41,Ware Norwell,6,Neural Networks
74,Stu Rennebach,45,Energy
70,Feliks Bather,50,Capital Goods
45,Helli Swynfen,63,Energy
44,Cherry Gammell,41,Consumer Services
51,Maighdiln Causier,88,Neural Networks
52,Llewellyn Russi,60,Neural Networks
70,Feliks Bather,50,Consumer Services
47,Stavro Castanos,65,Health Care
98,Damian Simpole,56,Neural Networks
90,Arron Maseyk,27,Miscellaneous
83,Chucho Havesides,6,Finance
76,Jim Chapelhow,21,Energy
80,Deidre Hambelton,45,Neural Networks
6,Winston Casterou,6,Miscellaneous
72,Rhianna Rice,6,Finance
66,Afton Cayle,98,Technology
41,Ware Norwell,6,Finance
51,Maighdiln Causier,88,Health Care
29,Rose Leighfield,38,Neural Networks
7,Darren Ensten,73,Neural Networks
71,Arlin Rouff,71,Health Care
23,Mort Luckings,96,Basic Industries
66,Afton Cayle,98,Finance
16,Brinn Altamirano,4,Health Care
76,Jim Chapelhow,21,Consumer Services
77,Filbert Paula,77,Miscellaneous
20,Emmerich Bellini,81,Technology
43,Mylo Jahncke,75,Health Care
89,Padgett Knok,90,Consumer Durables
44,Cherry Gammell,41,Public Utilities
70,Feliks Bather,50,Miscellaneous
62,Faith Conant,24,Neural Networks
78,Delmore Rigden,30,Neural Networks
25,Alberta Stathers,44,Neural Networks
43,Mylo Jahncke,75,Neural Networks
55,Aron Mullen,20,Finance
52,Llewellyn Russi,60,Neural Networks
10,Cthrine Ridehalgh,52,Health Care
4,Waylon Boots,90,Health Care
78,Delmore Rigden,30,Neural Networks
51,Maighdiln Causier,88,Miscellaneous
80,Deidre Hambelton,45,Health Care
18,Cheslie Harrema,45,Energy
69,Revkah Simony,47,Miscellaneous
59,Colly Treffrey,55,Neural Networks
15,Dynah Downage,36,Health Care
21,Sidonia Hache,3,Finance
56,Lanny Marlowe,8,Neural Networks
98,Damian Simpole,56,Neural Networks
30,Melonie Maypole,72,Consumer Services
13,Inigo Ryland,78,Neural Networks
1,Rupert Sorrel,46,Neural Networks
41,Ware Norwell,6,Consumer Services
25,Alberta Stathers,44,Energy
10,Cthrine Ridehalgh,52,Neural Networks
24,Halimeda Glantz,10,Finance
27,Conrado Dozdill,17,Neural Networks
98,Damian Simpole,56,Consumer Services
69,Revkah Simony,47,Consumer Services
9,Rachael Beernt,96,Health Care
33,Temple Lippard,17,Health Care
74,Stu Rennebach,45,Neural Networks
75,Reg Cornier,13,Neural Networks
18,Cheslie Harrema,45,Miscellaneous
89,Padgett Knok,90,Health Care
73,Kass Dudley,52,Neural Networks
35,Lamond Guice,95,Neural Networks
77,Filbert Paula,77,Finance
15,Dynah Downage,36,Miscellaneous
96,Sadella Twittey,39,Consumer Services
41,Ware Norwell,6,Energy
36,Linus Rameau,62,Finance
65,Ashil Elby,96,Miscellaneous
37,Tiebout Piff,31,Basic Industries
42,Gabbi Bartels-Ellis,28,Neural Networks
7,Darren Ensten,73,Basic Industries
57,Lorry De Bernardis,92,Finance
12,Lexis Shelmardine,40,Health Care
70,Feliks Bather,50,Consumer Services
94,Tally Templar,15,Neural Networks
23,Mort Luckings,96,Finance
12,Lexis Shelmardine,40,Finance
34,Leeann Shipton,18,Finance
37,Tiebout Piff,31,Neural Networks
65,Ashil Elby,96,Neural Networks
76,Jim Chapelhow,21,Neural Networks
62,Faith Conant,24,Technology
